,accuracy,auroc
0,0.8053333333333333,0.8712656084656084
1,0.8026666666666666,0.872762962962963
2,0.812,0.8757481481481483
3,0.8153333333333334,0.8814751322751323
4,0.7873333333333333,0.85689417989418
5,0.8173333333333334,0.8863957671957672
6,0.802,0.8735640211640211
7,0.8086666666666666,0.8769026455026454
8,0.8166666666666667,0.8791513227513228
9,0.8186666666666667,0.8885037037037037
10,0.812,0.8801396825396826
11,0.8106666666666666,0.8829396825396825
12,0.8086666666666666,0.8801301587301589
13,0.8213333333333334,0.8871661375661375
14,0.8046666666666666,0.8788867724867725
mean,0.8095555555555555,0.8781283950617284
std,0.008250402160044638,0.0075563632889883775
